Title,Star Rating,Main Content,Review Date
Do not recommend,Rated 1 out of 5 stars,"I paid extra for something that was pointlessThe terms are describe a way that you can get a way out, when people need to make use the insurance.Ive been trying to call but its unavailable??Overall bad experience i do not recommend",2024-05-24T08:41:25.000Z
The uploading of documents process had…,Rated 3 out of 5 stars,The uploading of documents process had to do it several times bc the agent wasn’t able to view. Also I received mixed information about my qualifications.,2024-05-24T08:27:46.000Z
their claim says they will cover not being able to use ticket but then won’t abide by their own rules. 0/10 waste of money,Rated 1 out of 5 stars,"y’all are some lying ass scammers. your insurance policy stated coverage was for being unable to use ticket. when i was unable to use it, y’all denied my request. i truly wasted my money on this lame ass insurance and wish i had never gotte it",2024-05-24T08:17:02.000Z
Wish it was more easier.,Rated 1 out of 5 stars,Wish it was more easier.,2024-05-24T07:44:16.000Z
Allianz makes claim easy to file and…,Rated 5 out of 5 stars,Allianz makes claim easy to file and respond quickly. I would strongly recommend to all travelers just for peace of mind.,2024-05-24T07:09:16.000Z
Easy and quick.,Rated 4 out of 5 stars,Easy to follow instructions on the app.  Kept me informed of progess with my claim.  Everything handled quickly with no need to speak with representative.,2024-05-24T06:57:38.000Z
Refund issue,Rated 1 out of 5 stars,"I was told I couldn’t get a refund bc the issue was more then 24 hours later. Which is not true!!! I issued a claimed refund BEFORE the event started as soon as I found out the issues I would have w transportation, in which is one of the reasons stated can be resolved into a refund.Edit: When I’ve said I issued one before the event started- this is exactly what I’m talking about; the mechanical breakdown did occur LESS than 24 hours of the event. It would be amazing to get refunded my money but obv that’s not the case here.",2024-05-24T06:55:58.000Z
Straightforward Coverage Plan,Rated 5 out of 5 stars,"The plan and coverage was straightforward and easy to purchase, and I had peace of mind during my trip abroad.",2024-05-24T06:51:17.000Z
The amount that was covered of my…minimum,Rated 3 out of 5 stars,The amount that was covered of my losses wasn't even half the cost of my expenses.,2024-05-24T06:40:50.000Z
Fast,Rated 5 out of 5 stars,"Fast, no hassle refund.",2024-05-24T05:52:28.000Z
Complicated documents for a small…,Rated 3 out of 5 stars,Complicated documents for a small routine claim,2024-05-24T05:36:08.000Z
Asked for a refund as we are unable to…,Rated 1 out of 5 stars,"Asked for a refund as we are unable to attend Motown May 31st in Abilene, Texas. The insurance is a scam. Would not give a refund on tickets",2024-05-24T05:34:49.000Z
Helpful and patient,Rated 5 out of 5 stars,Took time to explain and then listen to my issues and were quick remedy my concerns completely.,2024-05-24T05:18:58.000Z
My grandmother passed a few days before…,Rated 1 out of 5 stars,My grandmother passed a few days before a supercross race I bought tickets to. And I filed the claim because I needed to leave town to attend the service. And they’re refusing my refund unless I get the death certificate and send it to them. Which tbh is the last thing on my mind when my dearest grandmother has passed. I wouldn’t recommend Allianz to anyone. I’d definitely use a different insurance company next time. So it’s like I wasted 138$ on the tickets to the race and another 32$ on there insurance. Will not use them again ever. If my mind would’ve been in the right place so would’ve tried to just sell the good tickets for cheaper than what I paid so I’d have something for it. They were no help at Allianz.,2024-05-24T05:16:19.000Z
Accuracy,Rated 4 out of 5 stars,Customer service was promptly available and knowledgeable.,2024-05-24T05:08:25.000Z
Easy renewal,Rated 5 out of 5 stars,While traveling I received notification that my plan was expiring. The website provided easy access for renewing my plan.,2024-05-24T05:01:04.000Z
Quick,Rated 5 out of 5 stars,"Quick, smooth, reliable transaction",2024-05-24T05:00:45.000Z
Worth the extra investment,Rated 5 out of 5 stars,Needed to cancel my flight due to health related issues and doctor appointments.  The insurance covered the reimbursement.,2024-05-24T04:49:49.000Z
Trouble Free Service,Rated 5 out of 5 stars,I called and was able to get hold of someone fairly quickly and she started my claim.  It took a bit to figure out how to send all necessary documents but figured it out.  I appreciated the status given online and the claim was processed.  I received a check for my claim fairly quickly.,2024-05-24T04:46:44.000Z
I still haven’t gotten reimbursed for…,Rated 1 out of 5 stars,I still haven’t gotten reimbursed for what I paid for and insured through you guys,2024-05-24T04:21:20.000Z
Excellent customer service,Rated 5 out of 5 stars,I sent an email to company and made phone call as well.  Both responded in a timely manner,2024-05-24T04:09:08.000Z
It is impossible to get assistance,Rated 1 out of 5 stars,It is impossible to get assistance. I tried contacting a live person several times due to a family emergency that required me to cancel my trip. This insurance is a waste of money and time.,2024-05-24T03:56:12.000Z
God job,Rated 4 out of 5 stars,God jobGod jobGod jobGod job,2024-05-24T03:52:48.000Z
Unbelievably fast responding to my claim!!,Rated 5 out of 5 stars,I honestly cannot believe how fast Allianz responded to my claim for missing a port on my cruise. I turned in the claim one day and got paid the next!! thank you so very much Allianz!!,2024-05-24T03:48:37.000Z
Great customer service,Rated 5 out of 5 stars,Quick efficient responses,2024-05-24T03:44:39.000Z
Very good customer service,Rated 5 out of 5 stars,"Very good customer service!Had a small issue, but it turned out to be my fault.Very friendly people",2024-05-24T03:43:56.000Z
We paid over $600 for insurance and…,Rated 2 out of 5 stars,We paid over $600 for insurance and claimed a $1900 loss.  You only pain $1000.  I won't be buying your insurance again.,2024-05-24T03:18:34.000Z
Problem still not solved,Rated 1 out of 5 stars,Problem still not solved. My questions aren’t answered.,2024-05-24T03:15:06.000Z
