Title,Star Rating,Main Content,Review Date
Prompt response,Rated 5 out of 5 stars,Easy to use order process.,2024-05-24T07:22:13.000Z
very good online shopping service,Rated 5 out of 5 stars,,2024-05-24T06:52:56.000Z
I have always had a great experience…,Rated 5 out of 5 stars,I have always had a great experience shopping at BH Photo be it in person or online.,2024-05-24T05:45:44.000Z
Easy to find what I need,Rated 5 out of 5 stars,"Easy to find what I need, easy to order!",2024-05-24T04:57:53.000Z
Simplicity in finding and ordering…,Rated 5 out of 5 stars,"Simplicity in finding and ordering items I need.  Maybe too easy to spend money, but allowing me to make product decisions based on a multitude of options available at B&H.",2024-05-24T04:17:35.000Z
The exact item I was looking for,Rated 5 out of 5 stars,"The exact item I was looking for, and the item was readily available and ""In Stock."" B&H has always been ""top notch!"" Highly Recommend!",2024-05-24T03:47:56.000Z
Easy to Work With,Rated 5 out of 5 stars,The site is easy to navigate and efficient with transactions. Communication of order confirmations and order updates are sent via e-mail in good time so you always know the status of your purchases and shipments.,2024-05-24T03:06:42.000Z
Shipping trap sucks.,Rated 3 out of 5 stars,,2024-05-24T01:35:55.000Z
Easy to order and find products.,Rated 5 out of 5 stars,,2024-05-24T00:02:38.000Z
The shipping and duties are easy and…,Rated 5 out of 5 stars,The shipping and duties are easy and let them take care of it.,2024-05-23T23:55:30.000Z
All was great except the actual charge…,Rated 4 out of 5 stars,All was great except the actual charge including duty prepay was not transmitted to PayPal.,2024-05-23T23:18:18.000Z
Easy company to work with on ordering…,Rated 5 out of 5 stars,Easy company to work with on ordering and returns.,2024-05-23T23:01:05.000Z
Always easy !!!!,Rated 5 out of 5 stars,,2024-05-23T22:20:28.000Z
Always good service and merch as…,Rated 5 out of 5 stars,Always good service and merch as described.,2024-05-23T22:17:50.000Z
Good and fast,Rated 5 out of 5 stars,Good and fast,2024-05-23T21:58:42.000Z
Just frickin' awesome and easy to use,Rated 5 out of 5 stars,Just frickin' awesome and easy to use. We needed a component by tomorrow and B&H delivered.,2024-05-23T21:36:55.000Z
fast and easy,Rated 5 out of 5 stars,fast and easy,2024-05-23T20:48:34.000Z
Tripod Purchase,Rated 5 out of 5 stars,great products at fair prices with occasional fantastic deals. great customer service,2024-05-23T20:27:08.000Z
Love the company,Rated 5 out of 5 stars,,2024-05-23T20:24:14.000Z
Always great to shop with B&H.,Rated 5 out of 5 stars,Always great to shop with B&H.Friendly staff and they have most everything I want.,2024-05-23T19:50:16.000Z
fast and effective,Rated 5 out of 5 stars,,2024-05-23T19:25:34.000Z
ALL STRAIGHTFORWARD,Rated 5 out of 5 stars,,2024-05-23T18:40:36.000Z
"B&H - My first, and usually only, stop for photo gear and accessories!",Rated 5 out of 5 stars,"When I’m in need of photo gear, my first stop is B&H Photo.  They have what I need 99.9% if the time!  Shipping is quick!  The PayBoo credit feature makes purchases even easier and quicker.  I have been using B&H for years, and look for to many more!",2024-05-23T17:58:48.000Z
Same as it ever was......excellent!,Rated 5 out of 5 stars,,2024-05-23T17:50:14.000Z
FAST AND EASY,Rated 4 out of 5 stars,,2024-05-23T17:32:54.000Z
"Seamless shopping, like it should be",Rated 4 out of 5 stars,"As usual, seamless experience on the website. It's 4-star rather than 5 because the store had no specific explanation re the quality differences between two brands of generically the same kind of photo storage box priced 10 dollars apart. So I bought the costlier one assuming it may be better in some way. Apart from that the shopping experience was very good. Access to a sales person was rapid and the website is up to its usual high standard of usability. Wish more were like this.",2024-05-23T17:26:26.000Z
the fact that B&H carried the product…,Rated 5 out of 5 stars,the fact that B&H carried the product was great. If there is an improvement that you could make it would be to add a few more keyword terms so that it could be found faster. The issue surrounded the T mount interface. It was a little tricky to find.,2024-05-23T17:19:47.000Z
Everything running smooth in B&H,Rated 5 out of 5 stars,,2024-05-23T16:21:35.000Z
THANK YOU(:,Rated 5 out of 5 stars,,2024-05-23T16:14:08.000Z
My favorite store for last 16 years,Rated 5 out of 5 stars,My favorite store for last 16 years. The best photo store for me and thousands another pros.,2024-05-23T08:42:38.000Z
THE BEST STOCK AND SERVICE,Rated 5 out of 5 stars,,2024-05-23T08:24:31.000Z
Happy with the items and prices,Rated 5 out of 5 stars,,2024-05-23T05:57:00.000Z
the extra step for battery install to…,Rated 5 out of 5 stars,the extra step for battery install to ensure proper shipment was absolutely fantastic and will definitely have future orders from here! thank you!,2024-05-23T05:37:41.000Z
Excellent Selection of Camera Equipment…,Rated 5 out of 5 stars,Excellent Selection of Camera Equipment in stock - Super fast shipping - Always pleased with their customer service,2024-05-23T04:55:40.000Z
