Title,Star Rating,Main Content,Review Date
Quick easy and fixed!!,Rated 5 out of 5 stars,Quick easy and fixed!!,2024-05-24T08:18:32.000Z
The claims representative was courteous…,Rated 5 out of 5 stars,The claims representative was courteous and knew her job.,2024-05-24T07:40:52.000Z
Terrific sales people and a very…,Rated 5 out of 5 stars,Terrific sales people and a very compassionate woman named Carol who helped me when I had to cancel.,2024-05-24T03:22:54.000Z
They did a great job helping me and…,Rated 5 out of 5 stars,They did a great job helping me and giving me information I might need.,2024-05-24T03:10:13.000Z
Carshield gave the tow company my wrong…,Rated 4 out of 5 stars,"Carshield gave the tow company my wrong cell number, they tried to call me two times before someone picked up and said that they no longer needed tow service. It took three calls to finally get a tow truck to get to me",2024-05-24T02:04:12.000Z
Quick to cover part with trouble,Rated 5 out of 5 stars,Quick to cover part with trouble Very happy with representative Awesome,2024-05-24T02:03:58.000Z
Car shield was Awesome....I've been…,Rated 5 out of 5 stars,Car shield was Awesome....I've been paying my monthly premium for a few yrs now ...my jeep needed help and Carshield did what they promised ...and it was so easy...my dealership contacted carshield and the rest was seamless...I would strongly recommend Car Shield!!!!,2024-05-24T01:52:19.000Z
Gladly the only thing I've done so far…,Rated 4 out of 5 stars,Gladly the only thing I've done so far as sign up and do automatic payments be easier to tell you about my experience unfortunately if I ever actually need it,2024-05-24T01:52:16.000Z
Called and left several messages with…,Rated 1 out of 5 stars,"Called and left several messages with American Auto-Shield per instructions from CarShield representatives.Never a call back.I'm looking for a new company for coverage. Checking with Endurance. American Dream and others for price quotes.Good bye CarShield. Nearly five years, never a claim.",2024-05-24T01:34:42.000Z
Car Shield is great,Rated 5 out of 5 stars,"Between Car Shield and my repair shop, they came to a great deal which cost me very little for which I’m one happy senior citizen.",2024-05-24T01:25:11.000Z
Agent was knowledgeable and courteous,Rated 5 out of 5 stars,Agent was knowledgeable and courteous,2024-05-24T01:22:54.000Z
It's just a great overall company.,Rated 5 out of 5 stars,,2024-05-24T00:45:10.000Z
CarShield is the best ever ❤️ so glad…,Rated 5 out of 5 stars,CarShield is the best ever ❤️ so glad I'm a customer this company is awesome it does everything it's suppose to!!,2024-05-24T00:44:32.000Z
I had issue with my alternator and…,Rated 5 out of 5 stars,"I had issue with my alternator and called car shield and they where right on it fast and to the point,",2024-05-24T00:31:26.000Z
Your representatives was very patient…,Rated 5 out of 5 stars,Your representatives was very patient and very was very knowledgeable about your product,2024-05-24T00:16:13.000Z
Everything went smoothly,Rated 4 out of 5 stars,"Everything went smoothly. The radiator was covered, I was just disappointed the thermostat wasn't included. I has to pay for that and the deductible.",2024-05-24T00:12:50.000Z
Good phone call and fine customer…,Rated 5 out of 5 stars,Good phone call and fine customer service.,2024-05-24T00:08:58.000Z
The Representative Matika Was Excellent,Rated 5 out of 5 stars,"The representative Matika was pleasant, professional, caring, resourceful, and a problem solver. I had recently purchased a luxury car and wanted to be sure I had a warranty, and it was affordable. Matika searched for options to help me, and I am very grateful for her assistance. I highly recommend her and thank you for your excellent professionalism.",2024-05-23T23:33:36.000Z
Very fast and courteous,Rated 5 out of 5 stars,Very fast and courteous,2024-05-23T23:28:53.000Z
Thank you for your support and great…,Rated 5 out of 5 stars,Thank you for your support and great services,2024-05-23T23:24:08.000Z
Was very easy to find a good mechanic…,Rated 5 out of 5 stars,Was very easy to find a good mechanic that took car care. Glad I bought this program,2024-05-23T22:56:13.000Z
