Title,Star Rating,Main Content,Review Date
It was a great experience for me,Rated 5 out of 5 stars,"It was a great experience for me, I’ll do it again, thanks.",2024-05-23T21:26:32.000Z
all perfect,Rated 5 out of 5 stars,all perfect,2024-05-23T20:58:48.000Z
My delivery was delivered very prompt,Rated 5 out of 5 stars,My delivery was delivered very promptly,2024-05-23T20:31:56.000Z
My updated review…,Rated 1 out of 5 stars,"This is my updated review for my hereunder review posted few days ago here. .The company reached out to me via email just to confirm that they will do nothing regarding that matter ,so I don't really understand why they bother replying the emails here if they will not work on sorting out the issues.I cannot recommend ordering online with themI placed order # 317043425. which never made it to my door , by informing Fragrance net about what happened they simply said there is nothing they could do about it. unacceptable",2024-05-23T20:23:22.000Z
Tom Ford’s Black Orchid is a yesss!,Rated 5 out of 5 stars,"Tom Ford’s Black Orchid is a very pleasant fragrance. I got many compliments on this fragrance, male and female.",2024-05-23T19:09:34.000Z
I am not sure about the authenticity of…,Rated 2 out of 5 stars,I am not sure about the authenticity of the perfume. Smells the same but doesn’t last. Ones that I’ve purchased at department stores last all day. This one seems like even after initial spray the scent has already disappeared. Good price but not good quality.,2024-05-23T18:27:16.000Z
Vast selection of scents,Rated 5 out of 5 stars,"Vast selection of scents, and many choices of sizes of each scent. Detailed descriptions. Great discount prices. Fast shipping.",2024-05-23T18:19:59.000Z
Excellent company and they are good…,Rated 5 out of 5 stars,Excellent company and they are good about their guarantees also. I will watch for specials and sales from this company and start shopping with them for my Lancome products.   I  like saving money  !,2024-05-23T18:12:05.000Z
I Love Fragrance.net,Rated 5 out of 5 stars,I Love Fragrance.net really love ordering from Fragrance.net. my aunt told me about this company and she said how well and quickly they ship the merchandise and that you always get coupons to purchase their merchandise.  Which we all know in the world today we need coupons for what ever we can get.  So I ordered over 300.00 worth of perfumes.  I must say I was very impressed with the prices as well as the coupon.  Also the option to buy tester bottles.  I received my order in a timely manner. The bottles of perfume were all very well wrapped.  I will not buy my perfume from any other company.  Keep up the great job!!,2024-05-23T17:41:16.000Z
Love it snd it lasts,Rated 5 out of 5 stars,Love it snd it lasts,2024-05-23T17:13:16.000Z
I have not received my order,Rated 2 out of 5 stars,"I have not received my order. Every time I try to look it up I need order number, I did not register annacoount until after ordered. I can not find an account. I try email and customer service but they want an order number,I do not know where to find. Thank you Carla Cyscon redhmom",2024-05-23T16:59:52.000Z
Good to have this less expensive option.  Wish I could say that for the perfume I can’t afford to buy on this site.,Rated 5 out of 5 stars,Good to have this less expensive option.,2024-05-23T16:51:45.000Z
Prices are usually terrific,Rated 4 out of 5 stars,Prices are usually terrific. It's a geat place to find some elusive fragrances.  The rewards program is a nice way to knock off a few dollars especially when you hate paying for shipping.,2024-05-23T16:02:45.000Z
Love this company!  Great Prices!,Rated 5 out of 5 stars,"Love this company!   I can try the samples, and then even try the Travel Size before spending even less than retail for the the large size of all my favorite scents!  I have founds new scents this way that I would never have tried otherwise!  Great prices!",2024-05-23T15:50:15.000Z
Delivery process is crazy long!!!!,Rated 2 out of 5 stars,Delivery process is crazy long!!!!2 days just to ship and almost 3 others ones just to deliver.Come on guys!!!,2024-05-23T15:45:29.000Z
