Title,Star Rating,Main Content,Review Date
"Start to Finish, No Negatives!",Rated 5 out of 5 stars,"There was never a negative from beginning to end. I was late in getting a Mother's Day gift for my sister so whatever I chose should be both stunning and sentimental. AND, the necklace arrived two days sooner than the original ETA. I will be ordering again!",2024-05-24T06:25:12.000Z
I just bought a bracelet for my wife…,Rated 5 out of 5 stars,"I just bought a bracelet for my wife and myself. I haven’t receive it yet, but it is exactly what I was searching for. I can’t wait to receive them!",2024-05-24T06:00:31.000Z
Very much worth the wait,Rated 5 out of 5 stars,"A few weeks went by and I started to wonder if I’d been scammed. Even after trying the chat option, there was no response. There was an email from MYKA in my spam folder, this made me feel so much better. The bracelet was actually delivered the same day I found the email. Great packaging….simple, and very practical.  The bracelet is awesome, my mom is going to love it!! The engraving is crystal clear and the perfect size for the bead. Please thank the people behind the scenes for me! This is 100% my honest opinion, feel free to share my review!!!Thanks again Sara",2024-05-24T04:08:49.000Z
The ring I got is beautiful,Rated 4 out of 5 stars,The ring I got is beautiful and just what I wanted. The shipping was a little slow and got it later than expected but that's not really  the company's fault.,2024-05-24T04:07:36.000Z
Beautiful custom price of jewelry,Rated 5 out of 5 stars,Beautiful custom price of jewelry.  Fast shipping. Great experience.,2024-05-24T03:38:38.000Z
Beautiful jewelry and wonderful…,Rated 5 out of 5 stars,Beautiful jewelry and wonderful customer service!,2024-05-24T02:55:23.000Z
Absolutely beautiful,Rated 5 out of 5 stars,Absolutely beautiful my mom loved it,2024-05-24T02:49:57.000Z
I like them… I just wish both of the…,Rated 4 out of 5 stars,I like them… I just wish both of the rings I ordered came is the same Font… one ring is in low case letter and the other is in all caps 😔,2024-05-24T02:01:30.000Z
Buy it sis,Rated 5 out of 5 stars,Love it I’ve ordered a few of there products and I love it will definitely order again great quality,2024-05-24T01:47:00.000Z
Customer service responded quick in…,Rated 5 out of 5 stars,Customer service responded quick in reference to inquiries of purchase ring arrived pretty fast and it was so beautiful.I bought with all three of my children’s names on it.,2024-05-24T01:31:20.000Z
This is my third necklace that I have…,Rated 5 out of 5 stars,This is my third necklace that I have purchased. They make great personalized and unique gifts for that someone special.  I get so many compliments on the necklace with my children’s names on it.  ❤️,2024-05-24T01:25:07.000Z
Beautiful jewelry I meant to have the…,Rated 5 out of 5 stars,Beautiful jewelry I meant to have the birthstones included but there was a mixup 😔 All in all beautiful and worth it!,2024-05-24T01:13:38.000Z
Nice quality jewelry,Rated 5 out of 5 stars,Love the concept and what it represents. Nice piece of jewelry.  It’s heavy and excellent quality,2024-05-24T01:11:30.000Z
Beautiful necklace,Rated 5 out of 5 stars,Beautiful necklace. Was happy to find it was made in sterling silver. Other companies do not. Gift box and bag are very nice. Very pleased with my purchase.,2024-05-24T01:07:30.000Z
"Beautiful ring, satisfied customer!",Rated 5 out of 5 stars,"Website is user friendly, notifications of shipping, delivery right on time. Jewelry is beautiful. Will definitely buy again from this company.",2024-05-24T01:06:40.000Z
Great product,Rated 5 out of 5 stars,Great product!  Loved it...a little smaller than expected but beautiful none the less.  Would definitely buy from Myka again!,2024-05-24T01:06:17.000Z
Well made and beautiful bracelet,Rated 5 out of 5 stars,Well made and beautiful bracelet!  My 8 year old daughter loves it!,2024-05-24T01:04:14.000Z
You guys did an amazing job,Rated 5 out of 5 stars,"You guys did an amazing job, thank you so much, my friend loved the rings, 😊🤩",2024-05-24T00:26:49.000Z
The company was great to work with I…,Rated 5 out of 5 stars,The company was great to work with I had a misspelling on the one of the beads and they changed it my wife was very pleased,2024-05-24T00:08:03.000Z
Necklace,Rated 5 out of 5 stars,This personalized necklace is absolutely beautiful! I love my jewelry but love it even more when it has meaning.  Well done MYKA!!,2024-05-23T23:46:26.000Z
