Title,Star Rating,Main Content,Review Date
The installers were fast clean,Rated 5 out of 5 stars,"The installers were fast clean, and very efficient super friendly would definitely buy from this company again",2024-05-23T16:46:22.000Z
no complaints,Rated 5 out of 5 stars,,2024-05-23T16:35:00.000Z
Our Salesman Mike was awesome!,Rated 5 out of 5 stars,Our Salesman Mike was awesome!,2024-05-23T16:04:44.000Z
Just when you thought good customer service was a thing of the past.,Rated 5 out of 5 stars,Plessers was recommended to me by my kitchen designer at Coastal Cabinets. I had no experience with this company before. So I did some research and learned that it was a well established family business that has been open for a long time. I drove out to the store and met Alan. I can not say enough about Alan his knowledge and professionalism was second to none. He helped me to make stressful decisions with ease and had great recommendations when I asked. Even after ordering my kitchen appliances Alan has been there every time I have needed him. And now I'm actually getting delivery of my products and like everything else it has been smooth as silk. I would recommend Plessers to anyone who wants to be treated like they are the only customer on the planet.,2024-05-22T19:15:21.000Z
Great Job Plessers!,Rated 5 out of 5 stars,The price was the best I could find. The sale and delivery went according to plan. Jose the delivery man was very accommodating,2024-05-22T17:41:01.000Z
You make it so easy and seamless to…,Rated 5 out of 5 stars,You make it so easy and seamless to order.  Thank you.,2024-05-20T12:42:00.000Z
Many thanks to Kyle for a seamless…,Rated 5 out of 5 stars,"Many thanks to Kyle for a seamless delivery and installation of my range and to Jenny for regular updates on the status of my delivery. To their credit, Plesser’s has developed a professional and cohesive staff who all work together to “deliver” a 5 star customer experience!",2024-05-19T18:31:04.000Z
We are past very satisfied customers of…,Rated 5 out of 5 stars,We are past very satisfied customers of Plessers. When we needed a new oven we headed to Plessers. Our sales person was very knowledgeable and personable. After consulting with the manager the price was right and we purchased our new oven. There was a little confusion over the delivery date. That was quickly rectified and our new oven arrived today. The delivery was flawless. Once again we are very happy using Plessers for our appliance needs and would highly recommend them to family and friends.,2024-05-19T01:01:17.000Z
Product is good and the installation…,Rated 4 out of 5 stars,Product is good and the installation was done very professionally.,2024-05-18T23:53:28.000Z
Plessers has always had the best prices…,Rated 5 out of 5 stars,Plessers has always had the best prices and great customer service on all 4 purchases we have made from them in the last 4 years. Good selection and lots of reviews to make choosing your appliances easy,2024-05-17T23:28:25.000Z
My refrigerator was delivered on-time but I had a problem with the trucking company.…,Rated 4 out of 5 stars,My refrigerator was delivered on-time and in very good condition. The only problem was the delivery people. They measured my door frames and concluded that my old appliance was too big to be taken to the truck. I asked them about removing the hinges on the front to get the correct spacing to remove the appliance. They said no and left. Now I have to remove these hinges myself and remove the appliance. I think the least Plessers could do is cancel my appliance removal since it didn't get taken.,2024-05-17T22:55:10.000Z
Satisfied Customer,Rated 5 out of 5 stars,"The salesman, Michael, was extremely helpful and provided me with the necessary information to make my choice on the units that were purchased.I would recommend him based on his knowledge and people skills and, most of all, his patience in listening to what the needs were.",2024-05-14T15:51:44.000Z
Good service,Rated 5 out of 5 stars,Good service on order and schedulig of delivery.,2024-05-14T15:12:24.000Z
Knowledgable sales personnel,Rated 5 out of 5 stars,Knowledgable sales personnel. Delivery on time.  Installatioyprofessional and quick. Friendly delivery personnel,2024-05-13T22:49:40.000Z
Excellent Service,Rated 5 out of 5 stars,"From sales, Peter Romano, to the installer everything went smoothly and on schedule.  Special shout out to the installer (apologies for forgetting his name) who was on time, courteous, friendly, and did a great job even after having to wrestle with the last installer's work (that would be my work).  I highly recommend Plessers.  They have become my new go-to for appliances.",2024-05-12T16:49:08.000Z
Mike was super helpful and the process…,Rated 5 out of 5 stars,Mike was super helpful and the process was quick and easy,2024-05-11T23:58:54.000Z
Always a professional experience,Rated 5 out of 5 stars,Always a professional experience. Thank you!,2024-05-11T23:23:12.000Z
Wine cooler purchase.,Rated 5 out of 5 stars,Your sales person Adam did a very good job helping me pick out a wine cooler and help me go through the web site to see which one.Was very helpful and patient and explained how the process works. Would recommend PLESSER’S APPLIANCE to anyone. Thanks,2024-05-10T23:24:13.000Z
Michael was wonderful,Rated 5 out of 5 stars,"Michael was wonderful, very helpful.",2024-05-09T15:21:36.000Z
Slow delivery time,Rated 3 out of 5 stars,,2024-05-08T20:30:51.000Z
Emily took my call,Rated 5 out of 5 stars,"Emily took my call. I asked if she could look up the product I was interested in purchasing. Emily was so professional, and knowledgeable about the product, I decided to make the purchase. Emily explained everything thoroughly and was great to deal with. Emily's personality and desire to help the customer without being pushy but helpful is truly a skill and one to be emulated. My experience doing business with Plesser's Appliance was extremely satisfying and it was because of Emily!",2024-05-08T18:05:08.000Z
Great shopping experience,Rated 5 out of 5 stars,Great shopping experience and the installation was performed per the schedule.Great job all around,2024-05-08T03:38:16.000Z
plessers in Babylon…,Rated 5 out of 5 stars,"From heading into plessers in Babylon to delivery, every step was amazing. When they gave me a time period for delivery they stuck to that time. The guys that delivered were so nice , brought the appliances right into the house. I would totally recommend plessers.",2024-05-08T01:36:08.000Z
The store was wonderful,Rated 5 out of 5 stars,The store was wonderful. They answered all of my questions and setup delivery. Delivery was seamless. The stove is the best stove I’ve ever owned,2024-05-08T00:13:34.000Z
The service man,Rated 5 out of 5 stars,"The service man, Kyle, was professional. His work is appreciated.",2024-05-07T23:45:55.000Z
ERIC CULLEN WAS GREAT TO WORK WITH! HE WAS VERY INFORMATIVE AND HELPFUL. WOULD DEFINATELY RECOMMEND THIS COMPANY!!,Rated 5 out of 5 stars,ERIC CULLEN WAS GREAT TOWORK WITH,2024-05-07T16:59:41.000Z
Service and response time is excellent!,Rated 5 out of 5 stars,,2024-05-07T13:59:55.000Z
Plesser’s is the BEST!,Rated 5 out of 5 stars,"From salesman Peter to installer Joe, the entire experience was professional and seamless. My husband and I are very happy and will definitely recommend Plesser’s to family and friends.",2024-05-04T18:23:36.000Z
Prompt arrival,Rated 5 out of 5 stars,"Prompt arrival, excellent work performed.  Very customer focused.",2024-05-04T18:12:19.000Z
Maytag Dryer arrived on-time,Rated 5 out of 5 stars,"Maytag Dryer arrived on-time, well-packaged and in as-new condition. It was unwrapped from its box and set in its place by the delivery folks, hooked up to vent and electric service, and worked perfectly immediately.",2024-05-03T20:45:56.000Z
Plessers is always a pleasure to deal…,Rated 5 out of 5 stars,Plessers is always a pleasure to deal with. No high pressure and our sales person Eric Cullen was great. He was knowledgeable about the appliance we were purchasing. The driver Kyle who delivered the appliance was great also. He’s so polite and kind and courteous. He also delivered and installed our dishwasher in the past and was great then too.,2024-05-03T14:26:19.000Z
Robert was very helpful answering…,Rated 5 out of 5 stars,Robert was very helpful answering questions about the Weber FS grill and your delivery team did a great job assembling our new grill and removing the old one.,2024-05-02T18:48:44.000Z
Knowledgeable sales person who answered…,Rated 5 out of 5 stars,Knowledgeable sales person who answered all my questions.,2024-05-01T22:03:19.000Z
Great service,Rated 5 out of 5 stars,Great service. Grest delivery/installation,2024-05-01T15:00:02.000Z
Hjjk,Rated 5 out of 5 stars,"1,2,3,4,5,6",2024-05-01T01:12:55.000Z
