Title,Star Rating,Main Content,Review Date
Quick and easy Experience,Rated 5 out of 5 stars,I received my shoes quickly. Process was fast and easy.,2024-05-23T19:59:53.000Z
Great experience,Rated 5 out of 5 stars,Very trustworthy company that delivers on time,2024-05-23T19:55:30.000Z
Great product! Great service!,Rated 5 out of 5 stars,Everything was as described! Will definitely order from StockX in the future!,2024-05-23T18:33:31.000Z
Amazing service,Rated 5 out of 5 stars,,2024-05-23T18:04:05.000Z
Happy customer!,Rated 5 out of 5 stars,My son found the shoes he wanted on your website. The process was easy and the shipping was fast! I loved the continued updates on the shipping. We will definitely purchase from you again!😊,2024-05-23T17:53:40.000Z
Great to get hard to find trainers,Rated 5 out of 5 stars,Great to get hard to find trainers.  Was kept updated from all stages.  Decent price too,2024-05-23T17:20:25.000Z
Stop fuc king emailing me.,Rated 1 out of 5 stars,you bombard my email with spam under the guise that I signed up for your trash ass advertisements. Go fu ck yourself.,2024-05-23T17:03:22.000Z
Horrible customer service,Rated 1 out of 5 stars,Horrible customer service . I would use GOAT instead from my experience.,2024-05-23T16:56:26.000Z
Good and I love,Rated 5 out of 5 stars,Good and I love,2024-05-23T16:41:06.000Z
The gym shoes were damaged and we have…,Rated 1 out of 5 stars,The gym shoes were damaged and we have been almost one month trying to get through to the company,2024-05-23T16:20:38.000Z
Obsessed!,Rated 5 out of 5 stars,Shoes arrived earlier than expected and fit perfectly!! I love them!,2024-05-23T16:15:14.000Z
It was seamless for ordering,Rated 5 out of 5 stars,It was seamless for ordering. You could have done a better job with turnaround time from order placed to delivery,2024-05-23T16:12:04.000Z
Sent in 7 pair of Travis Scott’s that I…,Rated 1 out of 5 stars,Sent in 7 pair of Travis Scott’s that I invested in to resell they straight up STOLE them said they didn’t pass authentication which was a LIE and never returned them and their customer service is a joke you can only talk to bot that can’t resolve anything. This company is a huge scam!!!!!,2024-05-23T16:11:36.000Z
New Balance 530,Rated 5 out of 5 stars,"This was an easy experience to go through. I was kept well informed of my order status as it progressed. Package arrived as expected. I was concerned this would be knock off pair of New Balance, but they seem to be legit. The only down side to the experience, was the length of time from placing the order, to the actual delivery day. I would use StockX again.",2024-05-23T15:46:24.000Z
Reliable quality check,Rated 5 out of 5 stars,Never had bad experience with StockX in the last 8 years,2024-05-23T15:45:08.000Z
Muy buenas a mi hijo le encantaron,Rated 5 out of 5 stars,Muy buenas a mi hijo le encantaron,2024-05-23T15:32:16.000Z
Good service but excessive fee's,Rated 4 out of 5 stars,Been a member on Stock X for a number of years but never actually purchased as I didn't want to be hit with customs coming from the US. But have recently purchased in the knowledge you can buy within the EU and the process was seamless and easy. Not a fan of the processing fee's as would expect the seller to cover that hence the 4 stars. Will use Stock X where I can find a deal but will use other sites to avoid unnecessary processing fee's,2024-05-23T15:14:09.000Z
Don’t buy or sell off this platform it…,Rated 1 out of 5 stars,Don’t buy or sell off this platform it doesn’t work well for either the customer nor the vendor. They lure you to sell you products with the offer of no seller fees only to remove that deal almost immediately and sticking you with their outrageous fees. At the other end the buyer is also being robbed blind by stock x fees. Boxes are always damaged and they do not require sellers to add the extra laces and accessories originally sold with the shoes. There’s no recourse at this point either you probably just get a pathetic offering of a refund amounting to 25cents. EBay is far more trustworthy and you can also see the photos for a better idea of the product you will receive.,2024-05-23T14:51:15.000Z
Everything okk!!,Rated 5 out of 5 stars,Everything okk!!! I loved the product,2024-05-23T14:47:46.000Z
My shoes arrived in mint condition,Rated 5 out of 5 stars,My shoes arrived in mint condition. It just took longer than I wanted but arrived within the projected timeframe.,2024-05-23T14:36:40.000Z
StockX was fast and easy,Rated 5 out of 5 stars,StockX was fast and easy. Would recommend to anyone.,2024-05-23T14:28:53.000Z
This was my first purchase,Rated 5 out of 5 stars,This was my first purchase! Everything was perfect. One suggestion is to give yourself extra time specially if it’s for a gift as it does take a few days for the verification process and then shipping. But im extremely happy with it all! Great experience!!,2024-05-23T14:01:22.000Z
Clear description of the item & fast…,Rated 5 out of 5 stars,Clear description of the item & fast delivery. Good tracking,2024-05-23T13:44:45.000Z
"Fast delivery, nice package",Rated 5 out of 5 stars,"Fast delivery, nice package, legal and new shoes i got.",2024-05-23T10:44:34.000Z
Great trainers fast delivery,Rated 5 out of 5 stars,Great trainers fast delivery,2024-05-23T10:34:56.000Z
Fine!,Rated 5 out of 5 stars,I was pleasantly surprised by your professionalism and promptness. Thanks and congrats!,2024-05-23T08:49:31.000Z
Shipping was early,Rated 5 out of 5 stars,Shipping was early,2024-05-23T07:55:32.000Z
came in perfect condition,Rated 5 out of 5 stars,"came in perfect condition, such a good price and fast shippingI was honestly sketched with how good it seems but will be buying so much more",2024-05-23T07:53:38.000Z
JORDAN 5 RAGING BULL!!!,Rated 4 out of 5 stars,I ordered some raging bull 5s and the day before they said they delivered them to someone else and I was very mad untill they showed up the next day,2024-05-23T07:52:18.000Z
arived quiec  after 1 week.original .it…,Rated 5 out of 5 stars,arived quiec  after 1 week.original .it was good buying from you/ thx,2024-05-23T07:25:30.000Z
The shipping was,Rated 4 out of 5 stars,"The shipping was. Rather expensive and it took some time (shoes had to come out of Asia), but earlier than expected I received the shoes I wanted!",2024-05-23T06:44:38.000Z
Stock x has always been good to me…,Rated 5 out of 5 stars,Stock x has always been good to me always my first and most reliable option,2024-05-23T03:32:06.000Z
Thank you for helping me get the…,Rated 4 out of 5 stars,Thank you for helping me get the sneakers I have been looking for! Everything was great but the box came in a bit damaged.,2024-05-23T03:22:12.000Z
We ordered sneakers,Rated 5 out of 5 stars,We ordered sneakers. They came right on time no hassles.,2024-05-23T03:06:01.000Z
Very fast service,Rated 5 out of 5 stars,Very fast service. I didn't expect the item will come so quick. Great experiencd.,2024-05-23T02:29:37.000Z
Took a while but great experience,Rated 5 out of 5 stars,Took a while but great experience.  As advertised,2024-05-23T02:26:23.000Z
Generally have perfect experience…,Rated 4 out of 5 stars,"Generally have perfect experience dealing with StockX, but shipping from the seller to StockX for verification was far too long.",2024-05-23T02:04:46.000Z
No reason why i had to wait mad long…,Rated 1 out of 5 stars,No reason why i had to wait mad long for my shoes but oh yall quick to charge 20$ extra for yall fees but i cant get my sh!t on time. Just rediculous deadass. Do better im shopping off goat from now on,2024-05-23T01:23:56.000Z
I was sold counterfeit military blue…,Rated 5 out of 5 stars,"I was sold counterfeit military blue jordan from Korea , I returned it and I was issued a full refund",2024-05-23T00:25:49.000Z
Nike Slides,Rated 5 out of 5 stars,I LOVE MY 🌈 Slides,2024-05-23T00:15:54.000Z
