Title,Star Rating,Main Content,Review Date
Good price and expedited,Rated 5 out of 5 stars,Good price and expedited.  You have unlimited selections and it's so convenient.,2024-05-24T08:56:19.000Z
Great shirt fits awesome super fast…,Rated 5 out of 5 stars,Great shirt fits awesome super fast shipping and great too do business with thank you.,2024-05-24T08:44:42.000Z
T shirt is awesome design & color,Rated 5 out of 5 stars,"Awesome product selection, excellent quality, very quick to ship product to me. What’s not to like? Definitely will order again. Thank you.",2024-05-24T08:21:13.000Z
"Middling... Some pros, but cons too.",Rated 3 out of 5 stars,Pros: Shipping was decently fast. Shirts weren't overly expensive.They did have 2XT sizes. Fabric seems soft.Cons: Fabric seems thin. Quality of the printing left a lot to be desired. A lot of places where the transfer wasn't solid. Looks like some older print washed several times. On one of the two shirts the printing wasn't centered and was crooked. Only some weird color of blue avaialble in 2XT sizes?,2024-05-24T08:07:29.000Z
Great product,Rated 5 out of 5 stars,,2024-05-24T07:42:18.000Z
Great service,Rated 5 out of 5 stars,Great service. Speedy delivery and a good fair price.,2024-05-24T07:30:57.000Z
Always Pleased,Rated 5 out of 5 stars,I have been ordering tee public products for a very long time and I am always pleased with the product.,2024-05-24T07:29:52.000Z
Very Pleased!,Rated 5 out of 5 stars,"Prompt shipping, beautiful product just as described, one of a kind! Loved how I was kept in the loop the status of my order from start to finish too.",2024-05-24T07:29:10.000Z
Awesome shirt great design love it,Rated 5 out of 5 stars,,2024-05-24T07:17:11.000Z
Anticipation has become part of my…,Rated 5 out of 5 stars,"Anticipation has become part of my experience.  Shipping takes way too long.  But I am always pleased with the shirts.  That is the bottom line. These last 11 will probably complete my Basquiat collection.  Unless you can offer others.  ONLY BASQUIAT,  not like Basquiat.  Thanks!",2024-05-24T07:08:41.000Z
Thank you nice job,Rated 5 out of 5 stars,,2024-05-24T07:03:04.000Z
Item was even better than described,Rated 5 out of 5 stars,Item was even better than described. Fastish shipping and great quality.,2024-05-24T07:00:32.000Z
Taco Cats,Rated 5 out of 5 stars,"Tons of cute t shirts, and it's great that they are giving artists an opportunity to sell original unique clothing. And my shirt came quickly !",2024-05-24T06:02:46.000Z
Perf fit,Rated 5 out of 5 stars,Perf fit. Fast delivery,2024-05-24T06:00:49.000Z
Super reliable,Rated 5 out of 5 stars,It's reliable because you use an actual US size chart instead of a foreign one that throws a lot of people off like a lot of other places that sell shirts online. This has been my go to for a lot of shirts that are hard to find.,2024-05-24T05:28:38.000Z
Great shirts,Rated 4 out of 5 stars,The shirts were great. Communication & shipping were a little off.  It was late in telling me it was shipped & arrived. Couldn’t track it,2024-05-24T05:24:54.000Z
From the depths…,Rated 5 out of 5 stars,The legendary beast of phantom lake,2024-05-24T05:24:27.000Z
Love the ladies cut soft tee style!!,Rated 5 out of 5 stars,"The dolman triblend extra soft tee for ladies is the perfect cut with wide neck and cappy sleeves. I love it and plan to get more in this style. I'm 5'1 118 lbs and got the large because I wanted it to be loose rather than too fitted, and it's perfect, not too big (though, i should note that i have wide shoulders and chest, a fat belly, and not big boobs). The white color in that style is actually a very light Heather gray. I LOVE it, and got a compliment on the tee style the first day I wore it.",2024-05-24T05:19:18.000Z
Quality delivered,Rated 5 out of 5 stars,The quality is great and quick delivery.,2024-05-24T05:11:59.000Z
Ty teepublic for ur designer!!,Rated 5 out of 5 stars,Ty teepublic for ur designer!!! Beautifully done tshirt my daughter loved it!!!!,2024-05-24T05:04:04.000Z
