Category,Min Trust Score,Max Trust Score,Avg Trust Score
animal_health?page=1,3.1,4.9,4.505
animal_health?page=2,2.9,4.2,3.6944444444444446
animal_health?page=3,1.2,2.6,2.0
animal_parks_zoo?page=1,3.1,4.8,3.9545454545454546
cats_dogs?page=1,2.1,4.9,4.485
cats_dogs?page=2,4.3,4.8,4.495
cats_dogs?page=3,4.0,4.3,4.11
cats_dogs?page=4,3.7,4.0,3.79
cats_dogs?page=5,2.8,3.7,3.331578947368421
cats_dogs?page=6,2.4,2.6,2.5
horses_riding?page=1,3.6,4.9,3.995
horses_riding?page=2,2.8,3.2,3.06
pet_services?page=1,1.9,5.0,4.51
pet_services?page=2,4.3,4.6,4.44
pet_services?page=3,4.0,4.3,4.135
pet_services?page=4,3.7,4.0,3.77
pet_services?page=5,3.3,3.7,3.6214285714285714
pet_services?page=6,1.9,3.3,2.7
pet_stores?page=1,4.8,4.9,4.85
pet_stores?page=2,4.6,4.8,4.6899999999999995
pet_stores?page=3,4.4,4.6,4.49
pet_stores?page=4,4.1,4.4,4.2
pet_stores?page=5,3.3,4.1,3.76
pet_stores?page=6,2.3,5.0,4.66
pet_stores?page=7,4.7,4.8,4.76
pet_stores?page=8,4.6,4.7,4.635
pet_stores?page=9,4.5,4.6,4.525
pet_stores?page=10,4.3,4.5,4.4
pet_stores?page=11,4.3,4.3,4.3
pet_stores?page=12,4.2,4.3,4.225
pet_stores?page=13,4.1,4.2,4.125
pet_stores?page=14,4.0,4.1,4.03
pet_stores?page=15,4.0,4.0,4.0
pet_stores?page=16,3.8,3.9,3.885
pet_stores?page=17,3.8,3.8,3.8
pet_stores?page=18,3.7,3.8,3.735
pet_stores?page=19,3.7,3.7,3.7
pet_stores?page=20,3.7,3.7,3.7
pet_stores?page=21,3.6,3.7,3.6750000000000003
pet_stores?page=22,3.3,3.6,3.46
pet_stores?page=23,3.1,3.3,3.22
pet_stores?page=24,2.9,3.1,3.015
pet_stores?page=25,2.6,2.9,2.765
pet_stores?page=26,1.7,2.5,2.095
pet_stores?page=27,1.2,1.7,1.4733333333333334
cosmetics_makeup?page=1,4.8,4.9,4.855
cosmetics_makeup?page=2,4.7,4.8,4.725
cosmetics_makeup?page=3,4.6,4.7,4.63
cosmetics_makeup?page=4,4.5,4.6,4.515
cosmetics_makeup?page=5,4.3,4.5,4.385
cosmetics_makeup?page=6,4.1,4.3,4.234999999999999
cosmetics_makeup?page=7,3.5,4.1,3.815
cosmetics_makeup?page=8,1.6,4.9,3.5100000000000002
cosmetics_makeup?page=9,4.7,4.9,4.805
cosmetics_makeup?page=10,4.7,4.7,4.7
cosmetics_makeup?page=11,4.6,4.7,4.62
cosmetics_makeup?page=12,4.5,4.6,4.545
cosmetics_makeup?page=13,4.4,4.5,4.49
cosmetics_makeup?page=14,4.4,4.4,4.4
cosmetics_makeup?page=15,4.3,4.4,4.37
cosmetics_makeup?page=16,4.3,4.3,4.3
cosmetics_makeup?page=17,4.2,4.3,4.29
cosmetics_makeup?page=18,4.2,4.2,4.2
cosmetics_makeup?page=19,4.1,4.2,4.135
cosmetics_makeup?page=20,4.1,4.1,4.1
cosmetics_makeup?page=21,4.0,4.1,4.005
cosmetics_makeup?page=22,4.0,4.0,4.0
cosmetics_makeup?page=23,3.9,4.0,3.95
cosmetics_makeup?page=24,3.8,3.9,3.8449999999999998
cosmetics_makeup?page=25,3.8,3.8,3.8
cosmetics_makeup?page=26,3.8,3.8,3.8
cosmetics_makeup?page=27,3.7,3.8,3.7150000000000003
cosmetics_makeup?page=28,3.7,3.7,3.7
cosmetics_makeup?page=29,3.7,3.7,3.7
cosmetics_makeup?page=30,3.7,3.7,3.7
cosmetics_makeup?page=31,3.6,3.7,3.685
cosmetics_makeup?page=32,3.6,3.6,3.6
cosmetics_makeup?page=33,3.5,3.6,3.55
cosmetics_makeup?page=34,3.5,3.5,3.5
cosmetics_makeup?page=35,3.4,3.4,3.4
cosmetics_makeup?page=36,3.3,3.4,3.36
cosmetics_makeup?page=37,3.2,3.3,3.25
cosmetics_makeup?page=38,3.1,3.2,3.14
cosmetics_makeup?page=39,2.9,3.1,2.995
cosmetics_makeup?page=40,2.6,2.9,2.76
cosmetics_makeup?page=41,2.2,2.6,2.445
cosmetics_makeup?page=42,1.8,2.2,1.945
cosmetics_makeup?page=43,1.1,1.7,1.4714285714285715
hair_care_styling?page=1,4.4,4.9,4.67
hair_care_styling?page=2,3.8,4.4,4.125
hair_care_styling?page=3,1.6,5.0,4.105
hair_care_styling?page=4,4.5,4.7,4.605
hair_care_styling?page=5,4.3,4.5,4.415
hair_care_styling?page=6,4.2,4.3,4.265
hair_care_styling?page=7,4.0,4.2,4.125
hair_care_styling?page=8,3.9,4.0,3.995
hair_care_styling?page=9,3.7,3.9,3.81
hair_care_styling?page=10,3.7,3.7,3.7
hair_care_styling?page=11,3.6,3.7,3.66
hair_care_styling?page=12,3.5,3.5,3.5
hair_care_styling?page=13,3.2,3.4,3.3368421052631576
hair_care_styling?page=14,2.6,3.2,3.005
hair_care_styling?page=15,1.4,2.6,2.05
hair_care_styling?page=16,1.2,1.3,1.25
personal_care?page=1,4.8,5.0,4.8950000000000005
personal_care?page=2,4.8,4.8,4.8
personal_care?page=3,4.7,4.8,4.735
personal_care?page=4,4.7,4.7,4.7
personal_care?page=5,4.6,4.7,4.609999999999999
personal_care?page=6,4.5,4.6,4.56
personal_care?page=7,4.4,4.5,4.47
personal_care?page=8,4.3,4.4,4.37
personal_care?page=9,4.0,4.3,4.19
personal_care?page=10,3.8,4.0,3.935
personal_care?page=11,2.8,3.8,3.39
personal_care?page=12,2.0,5.0,4.515000000000001
personal_care?page=13,4.8,4.9,4.805
personal_care?page=14,4.7,4.8,4.795
personal_care?page=15,4.7,4.7,4.7
personal_care?page=16,4.7,4.7,4.7
personal_care?page=17,4.6,4.7,4.66
personal_care?page=18,4.6,4.6,4.6
personal_care?page=19,4.5,4.6,4.555
personal_care?page=20,4.5,4.5,4.5
personal_care?page=21,4.5,4.5,4.5
personal_care?page=22,4.4,4.4,4.4
personal_care?page=23,4.4,4.4,4.4
personal_care?page=24,4.3,4.4,4.35
personal_care?page=25,4.3,4.3,4.3
personal_care?page=26,4.3,4.3,4.3
personal_care?page=27,4.2,4.3,4.285
personal_care?page=28,4.2,4.2,4.2
personal_care?page=29,4.2,4.2,4.2
personal_care?page=30,4.1,4.2,4.13
personal_care?page=31,4.1,4.1,4.1
personal_care?page=32,4.0,4.1,4.06
personal_care?page=33,4.0,4.0,4.0
personal_care?page=34,4.0,4.0,4.0
personal_care?page=35,4.0,4.0,4.0
personal_care?page=36,4.0,4.0,4.0
personal_care?page=37,3.9,4.0,3.995
personal_care?page=38,3.9,3.9,3.9
personal_care?page=39,3.8,3.9,3.895
personal_care?page=40,3.8,3.8,3.8
personal_care?page=41,3.8,3.8,3.8
personal_care?page=42,3.8,3.8,3.8
personal_care?page=43,3.7,3.8,3.745
personal_care?page=44,3.7,3.7,3.7
personal_care?page=45,3.7,3.7,3.7
personal_care?page=46,3.7,3.7,3.7
personal_care?page=47,3.7,3.7,3.7
personal_care?page=48,3.6,3.7,3.67
personal_care?page=49,3.6,3.6,3.6
personal_care?page=50,3.5,3.6,3.585
personal_care?page=51,3.5,3.5,3.5
personal_care?page=52,3.5,3.5,3.5
personal_care?page=53,3.4,3.4,3.4
personal_care?page=54,3.4,3.4,3.4
personal_care?page=55,3.3,3.4,3.315
personal_care?page=56,3.1,3.3,3.19
personal_care?page=57,3.0,3.1,3.08
