Category,Min Trust Score,Max Trust Score,Avg Trust Score
accessories,1.2,5.0,3.7549404761904763
accomodations_lodging,1.1,5.0,3.755419337606838
accounting_tax,1.2,5.0,3.852254901960784
activities_tours,1.1,5.0,3.9185882352941173
administration_services,1.2,5.0,4.206653846153846
adult_entertainment,1.3,4.9,3.508416149068323
african_pacific_cuisine,3.9,4.2,4.033333333333333
agriculture_produce,1.6,4.9,3.42
air_water_transport,1.7,4.9,3.8849907120743032
airlines_air_travel,1.2,5.0,3.9131092436974795
airports_parking,1.6,4.8,3.4472222222222224
animal_health,1.2,4.9,3.3998148148148153
animal_parks_zoo,3.1,4.8,3.954545454545455
appliances_electronics,1.1,5.0,3.5419747899159666
architects_engineers,2.0,4.9,3.9274019607843136
art_handicraft,1.1,5.0,3.9444700460829494
asian_grocery_stores,1.7,4.7,4.017647058823529
associations_centers,1.5,5.0,3.6130000000000004
astrology_numerology,1.9,4.9,4.110333333333334
audio_visual,1.1,5.0,3.663888888888889
auto_parts_wheels,1.1,5.0,3.705181818181818
bakery_pastry,2.3,4.8,3.912361111111111
ball_games,1.6,4.9,3.5933333333333337
banking_money,1.2,5.0,3.7811029411764707
bars_cafes,2.2,4.8,3.8546428571428573
bat-and-ball_games,2.8,4.9,4.086666666666667
bathroom_kitchen,1.2,4.9,3.776342105263158
beer_wine,1.2,5.0,3.84374649859944
beverages_liquor,1.5,4.9,3.975714285714286
bicycles,1.3,4.9,3.6006051587301586
books_magazines,1.2,4.9,3.8754905437352245
bowls_lawn_sports,3.7,4.8,4.38
building_materials,1.6,4.9,3.8161497326203206
candy_chocolate,1.5,4.9,3.6386666666666665
cars_trucks,1.4,4.9,3.709673202614379
cats_dogs,2.1,4.9,3.7852631578947373
chemicals_plastic,2.0,4.9,3.6855555555555557
childrens_entertainment,1.2,5.0,3.6372834008097166
chinese_korean_cuisine,2.5,4.3,3.533333333333333
cleaning_service_providers,1.7,4.9,3.797371615312792
clinics,1.3,5.0,4.028492063492064
clothing_rental_repair,1.3,4.9,3.361644736842105
clothing_underwear,1.3,5.0,4.063896103896104
clubbing_nightlife,2.2,4.8,3.992307692307692
coffee_tea,2.0,5.0,3.806388888888889
colleges_universities,1.2,5.0,3.904438596491228
computers_phones,1.1,5.0,3.700941176470588
construction_services,2.3,4.9,3.958666666666667
contractors_consultants,1.3,5.0,3.8764102564102565
cosmetics_makeup,1.1,4.9,3.835847176079734
costume_wedding,1.2,4.9,3.581235754985755
courses_classes,1.1,5.0,4.134139666561812
craftsman,1.2,4.9,3.788064935064935
credit_debt_services,1.2,5.0,3.910743066457352
cultural_goods,1.9,4.9,3.8589705882352945
customs_toll,1.9,5.0,3.9731578947368424
dancing_gymnastics,1.6,4.8,3.3525
decoration_interior,1.3,5.0,3.9040624999999998
dental_services,1.5,4.9,3.6263392857142858
diagnostics_testing,1.4,4.8,3.7642857142857142
doctors_surgeons,1.5,4.9,3.7527777777777778
education_services,1.2,5.0,4.087626262626263
employment_career,1.2,5.0,4.162763157894736
energy_heating,1.4,5.0,3.4844210526315793
energy_power,1.4,4.9,3.5012573099415203
equipment_associations,1.0,5.0,3.878356481481481
european_cuisine,3.7,4.8,4.185714285714286
events_venues,1.1,5.0,3.8938365384615388
extreme_sports,1.5,4.9,3.68296992481203
fabric_stationary,1.8,4.9,3.812
factory_equipment,1.5,5.0,3.946296296296296
