Title,Star Rating,Main Content,Review Date
Believe,Rated 5 out of 5 stars,People can believe in western union any time,2024-04-22T07:30:29.000Z
Worst way to send money because there…,Rated 1 out of 5 stars,Worst way to send money because there is other apps like ria that will almost the cheapest and best way to send,2024-04-22T06:10:00.000Z
It’s convenient,Rated 5 out of 5 stars,It’s convenient. I can send money anytime anywhere.,2024-04-22T05:58:20.000Z
Very good company and fast,Rated 4 out of 5 stars,Very good company and fast,2024-04-22T05:31:30.000Z
Ease of app,Rated 5 out of 5 stars,The app is easy to use and convenient,2024-04-22T05:23:45.000Z
Failed money transfer,Rated 1 out of 5 stars,"Failed money transferMy money was not transferred after 7days, and the customer service have said it will take another 5 days to look into the matter. I am still waiting for a response and I don't have the money.",2024-04-22T05:20:17.000Z
Great way to send money home,Rated 5 out of 5 stars,Great way to send money home,2024-04-22T05:19:23.000Z
Transfer was relatively fast,Rated 4 out of 5 stars,Transfer was relatively fast. Would love to have a better exchange rate.,2024-04-22T05:09:12.000Z
Very good customer service,Rated 4 out of 5 stars,Very good customer service,2024-04-22T04:39:23.000Z
Thanks for making it,Rated 5 out of 5 stars,Thanks for making it. Easy it send money,2024-04-22T04:08:01.000Z
Western Union has been my helper for 18…,Rated 5 out of 5 stars,Western Union has been my helper for 18 yrs now. I did not encounter any problem as far as sending money to my love ones is concern. Very fast and efficient way of sending money. I trust this Company 100%.,2024-04-22T03:48:12.000Z
Makes life easier,Rated 5 out of 5 stars,Makes life easier. Although sometimes it can be frustrating. In general am happy to have you western Union. Thank you,2024-04-22T03:40:25.000Z
it used to be in minutes now taking…,Rated 1 out of 5 stars,it used to be in minutes now taking several days. Money is immidiately taken out from my account but deposited to my account very late. it’s getting unreliable now that is why I only send money through your service if there is no immidiate need of it.,2024-04-22T03:40:19.000Z
Very friendly and wonderful customer service staff whenever I call.,Rated 5 out of 5 stars,"Excellent, Fast and easy to send money.",2024-04-22T03:39:44.000Z
My debit card worked correctly this…,Rated 5 out of 5 stars,My debit card worked correctly this time. Much easier.,2024-04-22T03:27:38.000Z
Fast and easy,Rated 5 out of 5 stars,Fast and easy,2024-04-22T03:13:59.000Z
Only discrepancy I had with the money…,Rated 5 out of 5 stars,"Only discrepancy I had with the money transfer is that when the receiver received the money in the Philippines they still need to pay tax, it’s 1.50 pesos per thousand peso when they change the money into Philippine currency",2024-04-22T02:59:31.000Z
It took while now to received funds…,Rated 1 out of 5 stars,It took while now to received funds unlike few months ago received in minutes! Something was change now!,2024-04-22T02:52:05.000Z
Very fast,Rated 5 out of 5 stars,When I text my sister to go to western very fast and she got it..Very fast Indeed,2024-04-22T02:48:10.000Z
Efficiency and ease,Rated 5 out of 5 stars,Good experience,2024-04-22T02:47:55.000Z
I’m not sure why at times I am limited…,Rated 5 out of 5 stars,I’m not sure why at times I am limited in how many times I am allowed to send to the same person.,2024-04-22T02:47:46.000Z
Super fast and easy,Rated 5 out of 5 stars,"Excellent super super, fast service and excellent, easy to use",2024-04-22T02:24:25.000Z
Very easy and simple,Rated 5 out of 5 stars,Very easy and simple,2024-04-22T02:21:16.000Z
Always the best,Rated 5 out of 5 stars,Always the best,2024-04-22T02:01:26.000Z
On time,Rated 5 out of 5 stars,Good service always on time,2024-04-22T01:55:04.000Z
Easy and safe,Rated 5 out of 5 stars,Easy and safe. Just like I like it.,2024-04-22T01:39:37.000Z
Thank you for your serviceIt was nice to receive a confirmation .,Rated 5 out of 5 stars,It was nice to receive a confirmation .,2024-04-22T00:44:06.000Z
I have used it the experience was terrible …,Rated 1 out of 5 stars,O have used your service and it’s never been difficult before always plain and simple this time was a nightmare I don’t think I will use your app anymore,2024-04-22T00:42:46.000Z
Fairly smooth in sending to Phillipines.,Rated 5 out of 5 stars,Fairly smooth in sending to Phillipines.,2024-04-22T00:15:14.000Z
Simple and quick,Rated 5 out of 5 stars,,2024-04-22T00:09:19.000Z
The fee is getting expensive,Rated 1 out of 5 stars,The fee is getting expensive. It's almost $5:00 to send any money. Can't use my points because your point system is been down forever. I'm thinking about deleting the app and back to the location pay.,2024-04-21T23:52:20.000Z
Quick and efficient,Rated 5 out of 5 stars,Quick and efficient,2024-04-21T22:49:57.000Z
If my sender provided dollars at the…,Rated 3 out of 5 stars,"If my sender provided dollars at the time of sent the money, You should provide dollars or the exchange rate of the country destination. I lost 30 dollars, you received dollars, you kept 30 dollars additional to the sending fee.",2024-04-21T22:40:14.000Z
Good experience.,Rated 5 out of 5 stars,,2024-04-21T22:23:34.000Z
I’m recommending you to do this,Rated 4 out of 5 stars,I’m happy and greatly appreciate your help with transfer of money.,2024-04-21T22:21:44.000Z
Convenient and easy to make transfer…,Rated 5 out of 5 stars,Convenient and easy to make transfer transactions with out delay especially with Bank to Bank transfer thru online . So far no nuances .,2024-04-21T22:04:23.000Z
Easy and fast,Rated 5 out of 5 stars,,2024-04-21T22:01:29.000Z
The service has always been good and at…,Rated 5 out of 5 stars,"The service has always been good and at this time it is great, my only concern has been I've been a member for a long time and with a gold card number have your company not continue with this membership. I would like to know how can I obtain information regarding transfers that was sent over time.Thanks for the Service,Gerald Hendrix",2024-04-21T21:37:31.000Z
The usa service is great,Rated 5 out of 5 stars,"The USA service is fast, easy and Just great! However, your service in Belgium is outrageous. Your Belgian representatives need to learn costumer service.",2024-04-21T21:33:28.000Z
Excellent,Rated 5 out of 5 stars,Trusted and Fast Transactions,2024-04-21T21:29:56.000Z
Easy and secure process.,Rated 5 out of 5 stars,Easy and secure process.Options for sending money improved.,2024-04-21T21:09:47.000Z
Very convenient,Rated 5 out of 5 stars,Very convenient. Easy to used and money guarantee.  Customer service is great.,2024-04-21T20:56:50.000Z
Trust,Rated 5 out of 5 stars,I'm happy with the service and the experience,2024-04-21T20:31:22.000Z
The transfer was done so easy and fast.,Rated 5 out of 5 stars,,2024-04-21T20:27:17.000Z
It’s the best no doubt,Rated 5 out of 5 stars,Great service,2024-04-21T20:20:11.000Z
Having the mobile app is awesome!,Rated 5 out of 5 stars,Having the mobile app is awesome!,2024-04-21T20:09:15.000Z
Everything is good,Rated 5 out of 5 stars,Everything is good,2024-04-21T19:59:47.000Z
You are prompt and the receiver has…,Rated 4 out of 5 stars,You are prompt and the receiver has immediate access to the funds.,2024-04-21T19:49:32.000Z
Great to send money it’s very easy and…,Rated 5 out of 5 stars,Great to send money it’s very easy and safe .,2024-04-21T18:55:21.000Z
Cut down the price by not manipulating…,Rated 3 out of 5 stars,"Cut down the price by not manipulating the exchange rate in your favor. I am staying loyal, but competitors are lining up.",2024-04-21T18:01:10.000Z
Awesome,Rated 5 out of 5 stars,AwesomeEasy!,2024-04-21T17:58:29.000Z
App is easy,Rated 5 out of 5 stars,It’s simple and easy to use the app,2024-04-21T17:47:14.000Z
I love the app,Rated 5 out of 5 stars,I love the app. It is so convenient.,2024-04-21T17:42:45.000Z
Very courteous and helpful agents,Rated 5 out of 5 stars,,2024-04-21T17:30:57.000Z
Your work is reliable and fast,Rated 5 out of 5 stars,Your work is reliable and fast. Thank you,2024-04-21T17:02:59.000Z
Very easy to use,Rated 5 out of 5 stars,,2024-04-21T16:52:50.000Z
Nice services,Rated 5 out of 5 stars,Always fast,2024-04-21T16:30:27.000Z
Western Union gives some of the best…,Rated 5 out of 5 stars,Western Union gives some of the best rate and easy to use.,2024-04-21T15:28:54.000Z
They refunded my money when i sent it…,Rated 5 out of 5 stars,They refunded my money when i sent it to a closed bank account.,2024-04-21T15:22:15.000Z
Western Union makes it very easy and ...,Rated 5 out of 5 stars,"Western Union makes it very easy and very convenient to send money to family in Colombia and Argentina from the US or anywhere in the world. It's great and very simple to use. Although, I do have an issue with the current rewards program. It doesn't let me cash in or use my points for some reason and it doesn't say when that will be back up. That was very helpful for when I had to send to a country that has a high transfer fee. I could use points to lower that fee a bit, but now that little extra help is gone. But still, it's a good platform for what it is.",2024-04-21T15:18:41.000Z
Money   reach  fast,Rated 5 out of 5 stars,,2024-04-21T15:11:14.000Z
I was kicked off of the WU system…,Rated 1 out of 5 stars,I was kicked off of the WU system despite 8 years of loyalty. I had to completely reinoute my information as if I were a new customer. But the system to do this was the same that kicked me off. I had to get the executive  solution dept. to intervene. This took a week to get resolved. It was a total disgrace. WU is not a customer friendly organization.,2024-04-21T13:20:33.000Z
Easy and fast,Rated 5 out of 5 stars,,2024-04-21T12:56:23.000Z
Smooth speedy transfers,Rated 5 out of 5 stars,,2024-04-21T11:36:28.000Z
"Quick ,service with good costumer service",Rated 5 out of 5 stars,"No matter which state I send money it's always fest ready to pickup! When I had a problem ,I called the costumer service and they solved the problem quickly  on kind and intelligent  way I'm very satisfied  with the company and I'm a longtime users ! Reliable very good service 👌",2024-04-21T10:20:54.000Z
exchange rates,Rated 4 out of 5 stars,"reliable, easy to use",2024-04-21T10:04:18.000Z
Excellent service with the pick up,Rated 5 out of 5 stars,Excellent service with the pick up,2024-04-21T09:47:29.000Z
Good but expensive,Rated 5 out of 5 stars,Good but expensive,2024-04-21T09:25:01.000Z
Convenience of sending money…,Rated 5 out of 5 stars,"Convenience of sending an inmate money at my own comfort, not rushing to make it to a store before they close or early in the morning wondering if I made it on time for him to receive it",2024-04-21T07:42:25.000Z
Its almost 1decade to used the western…,Rated 5 out of 5 stars,Its almost 1decade to used the western union send money back home so very helpful.Thanks Western....,2024-04-21T07:06:15.000Z
Great experience,Rated 5 out of 5 stars,"Great experience, money sent immediately to the people that urgently needing it to use for their everyday living.",2024-04-21T07:02:54.000Z
Prompt attention to my request,Rated 4 out of 5 stars,Prompt attention to my request,2024-04-21T05:50:36.000Z
Always quick and trouble free transfers…,Rated 5 out of 5 stars,Always quick and trouble free transfers highly recommend,2024-04-21T05:09:46.000Z
Everything is good but we don't point…,Rated 5 out of 5 stars,Everything is good but we don't point and mayotte is on app,2024-04-21T04:50:46.000Z
The best money transfer Website…,Rated 5 out of 5 stars,"The best money transfer Website globally, secured and smooth to navigate, will always recommend to friends & colleagues.",2024-04-21T04:07:08.000Z
It’s good and convenient,Rated 4 out of 5 stars,It’s good and convenient,2024-04-21T03:44:34.000Z
So easy to send money to my Country!,Rated 5 out of 5 stars,,2024-04-21T03:34:43.000Z
Can't add SoFi bank account for…,Rated 1 out of 5 stars,Can't add SoFi bank account for transfer. There is already email with customer service but they didn't fix.,2024-04-21T03:32:48.000Z
Just made the send request -- we'll see…,Rated 5 out of 5 stars,Just made the send request -- we'll see if I have to go through customer service again.,2024-04-21T03:21:13.000Z
Great and easy to send money to love…,Rated 5 out of 5 stars,Great and easy to send money to love ones,2024-04-21T03:08:40.000Z
It’s an easy process,Rated 5 out of 5 stars,I’ve been using WU for a couple of years. It’s quick to send money and love getting the rewards.,2024-04-21T03:05:27.000Z
Long waiting period of money transfer…,Rated 3 out of 5 stars,Long waiting period of money transfer to the bank,2024-04-21T02:55:03.000Z
Everytime I have good results,Rated 5 out of 5 stars,Everytime I have good results. Money on time ti cover my family needs in Honduras.I only question my points. I have been wsiting for upgrade because I had made several transaction sending money. Mybpoint stayed at 20 for over six months now,2024-04-21T02:43:43.000Z
The process to send money via the app…,Rated 4 out of 5 stars,The process to send money via the app is very easy. The reason I didn't get 4 stars is because I send a monthly amount to someone and don't get a discount,2024-04-21T02:22:12.000Z
My mortgage went up to 5200 and l…,Rated 3 out of 5 stars,My mortgage went up to 5200 and l Western Union every month. This time Western Union would only let me send 5000 and l ended up having to send the 200 separately and pay two fees.,2024-04-21T02:18:53.000Z
Horrible Service,Rated 1 out of 5 stars,"The app was not allowing me to use Apple Pay, so I had called in and the customer service representative provided a promo code for 50% off the fee however it was still not covering the full amount. Apple Pay was $14.99 and credit card was $116. When did the transaction the app removed the promo code and charged me the full fee amounts. That was so disappointing when I called back the customer service representative did not help at all.",2024-04-21T02:03:33.000Z
Easy to used I love this app,Rated 5 out of 5 stars,,2024-04-21T01:58:40.000Z
America to the Philippines,Rated 4 out of 5 stars,Everytime I've used western union all the transactions have gone through seamlessly. I never have to worry about transferring money to the Philippines.,2024-04-21T01:49:34.000Z
I was surprised,Rated 5 out of 5 stars,"I was surprised by the swift and still very reliable and safe transaction, almost within a minute!Also the up to date exchange rate and low transaction fee places you above your competitors.You got a satisfied and loyal costumer!Klas Moser",2024-04-21T01:48:09.000Z
I support my fiance Every month period…,Rated 5 out of 5 stars,I support my fiance Every month period Western Union makes it easy,2024-04-21T01:45:31.000Z
It is easy and convenient.,Rated 5 out of 5 stars,,2024-04-21T01:16:01.000Z
awesome  we appreciate your business,Rated 5 out of 5 stars,Company doing aesome bussiness & coustomer Service.,2024-04-21T00:56:12.000Z
not able to send money to my son and…wi,Rated 1 out of 5 stars,not able to send money to my son and his two daughters and son in Texas because of major problems in over vitrification .!!!,2024-04-21T00:43:08.000Z
Easy to send,Rated 5 out of 5 stars,It's easy to send money to my love ones,2024-04-21T00:37:07.000Z
Service is fast and easy,Rated 5 out of 5 stars,Service is fast and easy,2024-04-21T00:04:11.000Z
Exactly service !!!!,Rated 5 out of 5 stars,,2024-04-20T23:06:40.000Z
Good service!,Rated 5 out of 5 stars,,2024-04-20T22:44:15.000Z
